1,44650,0.7596,113634542.58372,70609231.2045902
1.01,44651,0.767345,114793178.092292,71329173.9319198
1.02,44652,0.77509,115951813.600863,72049116.6592494
1.03,44653,0.782835,117110449.109435,72769059.3865789
1.04,44654,0.79058,118269084.618006,73489002.1139085
1.05,44655,0.798325,119427720.126578,74208944.8412381
1.06,44656,0.80607,120586355.635149,74928887.5685677
1.07,44657,0.813815,121744991.143721,75648830.2958973
1.08,44658,0.82156,122903626.652292,76368773.0232268
1.09,44659,0.829305,124062262.160864,77088715.7505564
1.1,44660,0.83705,125220897.669435,77808658.477886
1.11,44661,0.844795,126379533.178007,78528601.2052156
1.12,44662,0.85254,127538168.686578,79248543.9325452
1.13,44663,0.860285,128696804.19515,79968486.6598748
1.14,44664,0.86803,129855439.703721,80688429.3872043
1.15,44665,0.875775,131014075.212293,81408372.1145339
1.16,44666,0.88352,132172710.720864,82128314.8418635
1.17,44667,0.891265,133331346.229436,82848257.5691931
1.18,44668,0.89901,134489981.738007,83568200.2965227
1.19,44669,0.906755,135648617.246579,84288143.0238522
2,44670,0.9145,136807252.75515,85008085.7511818
2.01,44671,0.92207,137939708.636349,85711761.2122386
2.02,44672,0.92964,139072164.517548,86415436.6732954
2.03,44673,0.93721,140204620.398747,87119112.1343522
2.04,44674,0.94478,141337076.279946,87822787.595409
2.05,44675,0.95235,142469532.161145,88526463.0564658
2.06,44676,0.95992,143601988.042344,89230138.5175226
2.07,44677,0.96749,144734443.923543,89933813.9785794
2.08,44678,0.97506,145866899.804742,90637489.4396362
2.09,44679,0.98263,146999355.685941,91341164.900693
3,44680,0.9902,148131811.56714,92044840.3617499
3.01,44681,0.99749,149222380.044543,92722488.1967702
3.02,44682,1.00478,150312948.521946,93400136.0317906
3.03,44683,1.01207,151403516.999349,94077783.8668109
3.04,44684,1.01936,152494085.476752,94755431.7018313
3.05,44685,1.02665,153584653.954155,95433079.5368517
3.06,44686,1.03394,154675222.431558,96110727.371872
3.07,44687,1.04123,155765790.908961,96788375.2068924
3.08,44688,1.04852,156856359.386364,97466023.0419128
3.09,44689,1.05581,157946927.863767,98143670.8769331
3.1,44690,1.0631,159037496.34117,98821318.7119535
3.11,44691,1.07039,160128064.818573,99498966.5469739
3.12,44692,1.07768,161218633.295976,100176614.381994
3.13,44693,1.08497,162309201.773379,100854262.217015
3.14,44694,1.09226,163399770.250782,101531910.052035
3.15,44695,1.09955,164490338.728185,102209557.887055
3.16,44696,1.10684,165580907.205588,102887205.722076
3.17,44697,1.11413,166671475.682991,103564853.557096
3.18,44698,1.12142,167762044.160394,104242501.392116
3.19,44699,1.12871,168852612.637797,104920149.227137
4,44700,1.136,169943181.1152,105597797.062157
4.01,44701,1.1429,170975406.42303,106239192.132341
4.02,44702,1.1498,172007631.73086,106880587.202525
4.03,44703,1.1567,173039857.03869,107521982.272709
4.04,44704,1.1636,174072082.34652,108163377.342892
4.05,44705,1.1705,175104307.65435,108804772.413076
4.06,44706,1.1774,176136532.96218,109446167.48326
4.07,44707,1.1843,177168758.27001,110087562.553444
4.08,44708,1.1912,178200983.57784,110728957.623628
4.09,44709,1.1981,179233208.88567,111370352.693812
5,44710,1.205,180265434.1935,112011747.763996
5.01,44711,1.2114,181222860.56598,112606664.930543
5.02,44712,1.2178,182180286.93846,113201582.09709
5.03,44713,1.2242,183137713.31094,113796499.263638
5.04,44714,1.2306,184095139.68342,114391416.430185
5.05,44715,1.237,185052566.0559,114986333.596733
5.06,44716,1.2434,186009992.42838,115581250.76328
5.07,44717,1.2498,186967418.80086,116176167.929827
5.08,44718,1.2562,187924845.17334,116771085.096375
5.09,44719,1.2626,188882271.54582,117366002.262922
5.1,44720,1.269,189839697.9183,117960919.429469
5.11,44721,1.2754,190797124.29078,118555836.596017
5.12,44722,1.2818,191754550.66326,119150753.762564
5.13,44723,1.2882,192711977.03574,119745670.929111
5.14,44724,1.2946,193669403.40822,120340588.095659
5.15,44725,1.301,194626829.7807,120935505.262206
5.16,44726,1.3074,195584256.15318,121530422.428753
5.17,44727,1.3138,196541682.52566,122125339.595301
5.18,44728,1.3202,197499108.89814,122720256.761848
5.19,44729,1.3266,198456535.27062,123315173.928396
6,44730,1.333,199413961.6431,123910091.094943
6.01,44731,1.3389,200296589.08023,124458530.357854
6.02,44732,1.3448,201179216.51736,125006969.620765
6.03,44733,1.3507,202061843.95449,125555408.883676
6.04,44734,1.3566,202944471.39162,126103848.146586
6.05,44735,1.3625,203827098.82875,126652287.409497
6.06,44736,1.3684,204709726.26588,127200726.672408
6.07,44737,1.3743,205592353.70301,127749165.935319
6.08,44738,1.3802,206474981.14014,128297605.19823
6.09,44739,1.3861,207357608.57727,128846044.461141
7,44740,1.392,208240236.0144,129394483.724052
7.01,44741,1.39725,209025624.835575,129882501.712235
7.02,44742,1.4025,209811013.65675,130370519.700418
7.03,44743,1.40775,210596402.477925,130858537.688602
7.04,44744,1.413,211381791.2991,131346555.676785
7.05,44745,1.41825,212167180.120275,131834573.664968
7.06,44746,1.4235,212952568.94145,132322591.653152
7.07,44747,1.42875,213737957.762625,132810609.641335
7.08,44748,1.434,214523346.5838,133298627.629519
7.09,44749,1.43925,215308735.404975,133786645.617702
7.1,44750,1.4445,216094124.22615,134274663.605885
7.11,44751,1.44975,216879513.047325,134762681.594069
7.12,44752,1.455,217664901.8685,135250699.582252
7.13,44753,1.46025,218450290.689675,135738717.570435
7.14,44754,1.4655,219235679.51085,136226735.558619
7.15,44755,1.47075,220021068.332025,136714753.546802
7.16,44756,1.476,220806457.1532,137202771.534986
